Tick,Step,DateTime,X,Y,ID
5,5,2022-03-01T05:00:05.0000000,2,1,b086433f-ce0f-4160-b709-9ae7b5716335
5,5,2022-03-01T05:00:05.0000000,3,2,9be00070-7494-4b84-a2f6-8b6d8cfaff48
5,5,2022-03-01T05:00:05.0000000,1,2,196d111e-c981-4bca-9ef0-0fd898ed4218
5,5,2022-03-01T05:00:05.0000000,1,1,d811d956-e219-460d-bde9-b796af334681
5,5,2022-03-01T05:00:05.0000000,0,0,6a6882e6-68ca-43c3-9f9f-71a6c72b22de
5,5,2022-03-01T05:00:05.0000000,0,0,1742375b-504a-4840-9fd2-fdf7b1a842e5
5,5,2022-03-01T05:00:05.0000000,1,1,e1f379c2-4370-4ab1-a6b0-98b1cc2d3da9
6,6,2022-03-01T05:00:06.0000000,2,0,4467187d-946b-494b-a17e-aa7dbc811e5a
6,6,2022-03-01T05:00:06.0000000,3,2,9139aa59-998b-4b71-9b7e-f65dd17ebfdf
6,6,2022-03-01T05:00:06.0000000,0,0,d25c7bad-5905-4090-bd31-11efca49e2b2
6,6,2022-03-01T05:00:06.0000000,2,1,b086433f-ce0f-4160-b709-9ae7b5716335
6,6,2022-03-01T05:00:06.0000000,2,2,9be00070-7494-4b84-a2f6-8b6d8cfaff48
6,6,2022-03-01T05:00:06.0000000,0,2,196d111e-c981-4bca-9ef0-0fd898ed4218
6,6,2022-03-01T05:00:06.0000000,0,1,d811d956-e219-460d-bde9-b796af334681
6,6,2022-03-01T05:00:06.0000000,0,1,6a6882e6-68ca-43c3-9f9f-71a6c72b22de
6,6,2022-03-01T05:00:06.0000000,0,1,1742375b-504a-4840-9fd2-fdf7b1a842e5
6,6,2022-03-01T05:00:06.0000000,1,1,e1f379c2-4370-4ab1-a6b0-98b1cc2d3da9
7,7,2022-03-01T05:00:07.0000000,2,1,4467187d-946b-494b-a17e-aa7dbc811e5a
7,7,2022-03-01T05:00:07.0000000,2,2,9139aa59-998b-4b71-9b7e-f65dd17ebfdf
7,7,2022-03-01T05:00:07.0000000,0,1,d25c7bad-5905-4090-bd31-11efca49e2b2
7,7,2022-03-01T05:00:07.0000000,2,1,b086433f-ce0f-4160-b709-9ae7b5716335
7,7,2022-03-01T05:00:07.0000000,3,2,9be00070-7494-4b84-a2f6-8b6d8cfaff48
7,7,2022-03-01T05:00:07.0000000,0,3,196d111e-c981-4bca-9ef0-0fd898ed4218
7,7,2022-03-01T05:00:07.0000000,1,1,d811d956-e219-460d-bde9-b796af334681
7,7,2022-03-01T05:00:07.0000000,0,1,6a6882e6-68ca-43c3-9f9f-71a6c72b22de
7,7,2022-03-01T05:00:07.0000000,0,2,1742375b-504a-4840-9fd2-fdf7b1a842e5
7,7,2022-03-01T05:00:07.0000000,1,2,e1f379c2-4370-4ab1-a6b0-98b1cc2d3da9
8,8,2022-03-01T05:00:08.0000000,2,1,4467187d-946b-494b-a17e-aa7dbc811e5a
8,8,2022-03-01T05:00:08.0000000,1,2,9139aa59-998b-4b71-9b7e-f65dd17ebfdf
8,8,2022-03-01T05:00:08.0000000,0,2,d25c7bad-5905-4090-bd31-11efca49e2b2
8,8,2022-03-01T05:00:08.0000000,2,1,b086433f-ce0f-4160-b709-9ae7b5716335
8,8,2022-03-01T05:00:08.0000000,4,2,9be00070-7494-4b84-a2f6-8b6d8cfaff48
8,8,2022-03-01T05:00:08.0000000,0,4,196d111e-c981-4bca-9ef0-0fd898ed4218
8,8,2022-03-01T05:00:08.0000000,0,1,d811d956-e219-460d-bde9-b796af334681
8,8,2022-03-01T05:00:08.0000000,0,2,6a6882e6-68ca-43c3-9f9f-71a6c72b22de
8,8,2022-03-01T05:00:08.0000000,1,2,1742375b-504a-4840-9fd2-fdf7b1a842e5
8,8,2022-03-01T05:00:08.0000000,0,2,e1f379c2-4370-4ab1-a6b0-98b1cc2d3da9
9,9,2022-03-01T05:00:09.0000000,2,0,4467187d-946b-494b-a17e-aa7dbc811e5a
9,9,2022-03-01T05:00:09.0000000,0,2,9139aa59-998b-4b71-9b7e-f65dd17ebfdf
9,9,2022-03-01T05:00:09.0000000,1,2,d25c7bad-5905-4090-bd31-11efca49e2b2
9,9,2022-03-01T05:00:09.0000000,2,0,b086433f-ce0f-4160-b709-9ae7b5716335
9,9,2022-03-01T05:00:09.0000000,5,2,9be00070-7494-4b84-a2f6-8b6d8cfaff48
9,9,2022-03-01T05:00:09.0000000,0,5,196d111e-c981-4bca-9ef0-0fd898ed4218
9,9,2022-03-01T05:00:09.0000000,0,0,d811d956-e219-460d-bde9-b796af334681
9,9,2022-03-01T05:00:09.0000000,0,1,6a6882e6-68ca-43c3-9f9f-71a6c72b22de
9,9,2022-03-01T05:00:09.0000000,0,2,1742375b-504a-4840-9fd2-fdf7b1a842e5
9,9,2022-03-01T05:00:09.0000000,0,3,e1f379c2-4370-4ab1-a6b0-98b1cc2d3da9
10,10,2022-03-01T05:00:10.0000000,2,0,4467187d-946b-494b-a17e-aa7dbc811e5a
10,10,2022-03-01T05:00:10.0000000,0,2,9139aa59-998b-4b71-9b7e-f65dd17ebfdf
10,10,2022-03-01T05:00:10.0000000,2,2,d25c7bad-5905-4090-bd31-11efca49e2b2
10,10,2022-03-01T05:00:10.0000000,2,1,b086433f-ce0f-4160-b709-9ae7b5716335
10,10,2022-03-01T05:00:10.0000000,5,2,9be00070-7494-4b84-a2f6-8b6d8cfaff48
10,10,2022-03-01T05:00:10.0000000,0,6,196d111e-c981-4bca-9ef0-0fd898ed4218
10,10,2022-03-01T05:00:10.0000000,0,0,d811d956-e219-460d-bde9-b796af334681
10,10,2022-03-01T05:00:10.0000000,0,2,6a6882e6-68ca-43c3-9f9f-71a6c72b22de
10,10,2022-03-01T05:00:10.0000000,0,3,1742375b-504a-4840-9fd2-fdf7b1a842e5
10,10,2022-03-01T05:00:10.0000000,0,2,e1f379c2-4370-4ab1-a6b0-98b1cc2d3da9
11,11,2022-03-01T05:00:11.0000000,2,0,4467187d-946b-494b-a17e-aa7dbc811e5a
11,11,2022-03-01T05:00:11.0000000,1,2,9139aa59-998b-4b71-9b7e-f65dd17ebfdf
11,11,2022-03-01T05:00:11.0000000,2,2,d25c7bad-5905-4090-bd31-11efca49e2b2
11,11,2022-03-01T05:00:11.0000000,1,1,b086433f-ce0f-4160-b709-9ae7b5716335
11,11,2022-03-01T05:00:11.0000000,4,2,9be00070-7494-4b84-a2f6-8b6d8cfaff48
11,11,2022-03-01T05:00:11.0000000,1,6,196d111e-c981-4bca-9ef0-0fd898ed4218
11,11,2022-03-01T05:00:11.0000000,0,0,d811d956-e219-460d-bde9-b796af334681
11,11,2022-03-01T05:00:11.0000000,0,3,6a6882e6-68ca-43c3-9f9f-71a6c72b22de
11,11,2022-03-01T05:00:11.0000000,0,3,1742375b-504a-4840-9fd2-fdf7b1a842e5
11,11,2022-03-01T05:00:11.0000000,0,1,e1f379c2-4370-4ab1-a6b0-98b1cc2d3da9
12,12,2022-03-01T05:00:12.0000000,2,0,4467187d-946b-494b-a17e-aa7dbc811e5a
12,12,2022-03-01T05:00:12.0000000,0,2,9139aa59-998b-4b71-9b7e-f65dd17ebfdf
12,12,2022-03-01T05:00:12.0000000,1,2,d25c7bad-5905-4090-bd31-11efca49e2b2
12,12,2022-03-01T05:00:12.0000000,1,1,b086433f-ce0f-4160-b709-9ae7b5716335
12,12,2022-03-01T05:00:12.0000000,3,2,9be00070-7494-4b84-a2f6-8b6d8cfaff48
12,12,2022-03-01T05:00:12.0000000,1,5,196d111e-c981-4bca-9ef0-0fd898ed4218
12,12,2022-03-01T05:00:12.0000000,0,1,d811d956-e219-460d-bde9-b796af334681
12,12,2022-03-01T05:00:12.0000000,0,2,6a6882e6-68ca-43c3-9f9f-71a6c72b22de
12,12,2022-03-01T05:00:12.0000000,0,2,1742375b-504a-4840-9fd2-fdf7b1a842e5
12,12,2022-03-01T05:00:12.0000000,0,0,e1f379c2-4370-4ab1-a6b0-98b1cc2d3da9
13,13,2022-03-01T05:00:13.0000000,2,1,4467187d-946b-494b-a17e-aa7dbc811e5a
13,13,2022-03-01T05:00:13.0000000,0,3,9139aa59-998b-4b71-9b7e-f65dd17ebfdf
13,13,2022-03-01T05:00:13.0000000,2,2,d25c7bad-5905-4090-bd31-11efca49e2b2
13,13,2022-03-01T05:00:13.0000000,1,1,b086433f-ce0f-4160-b709-9ae7b5716335
13,13,2022-03-01T05:00:13.0000000,3,3,9be00070-7494-4b84-a2f6-8b6d8cfaff48
13,13,2022-03-01T05:00:13.0000000,0,5,196d111e-c981-4bca-9ef0-0fd898ed4218
13,13,2022-03-01T05:00:13.0000000,0,2,d811d956-e219-460d-bde9-b796af334681
