Tick,Step,DateTime,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,1,1,20b2d71e-2333-4c3f-954f-4da2b1a44070
0,0,2022-03-01T05:00:00.0000000,1,1,b9562772-999c-4c71-abf4-238d41a5c640
0,0,2022-03-01T05:00:00.0000000,1,1,469922c6-cc85-4a64-9d36-442638f356d6
0,0,2022-03-01T05:00:00.0000000,1,1,1172130a-286c-4dd4-b6f6-4f2ae840cb01
0,0,2022-03-01T05:00:00.0000000,1,1,3b859546-674a-454b-9565-be88f44911f9
0,0,2022-03-01T05:00:00.0000000,1,1,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
0,0,2022-03-01T05:00:00.0000000,1,1,deb1d222-41a8-4677-b59e-596879022729
0,0,2022-03-01T05:00:00.0000000,1,1,44e3c14e-cce0-4d4a-8f73-b56f60072101
0,0,2022-03-01T05:00:00.0000000,1,1,c4859179-55ad-44cd-9fa8-e14db336d3e4
0,0,2022-03-01T05:00:00.0000000,1,1,687fda8b-58fe-4006-9617-6c3460a159b2
1,1,2022-03-01T05:00:01.0000000,2,0,20b2d71e-2333-4c3f-954f-4da2b1a44070
1,1,2022-03-01T05:00:01.0000000,0,2,b9562772-999c-4c71-abf4-238d41a5c640
1,1,2022-03-01T05:00:01.0000000,2,2,469922c6-cc85-4a64-9d36-442638f356d6
1,1,2022-03-01T05:00:01.0000000,2,0,1172130a-286c-4dd4-b6f6-4f2ae840cb01
1,1,2022-03-01T05:00:01.0000000,2,2,3b859546-674a-454b-9565-be88f44911f9
1,1,2022-03-01T05:00:01.0000000,0,0,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
1,1,2022-03-01T05:00:01.0000000,2,2,deb1d222-41a8-4677-b59e-596879022729
1,1,2022-03-01T05:00:01.0000000,2,2,44e3c14e-cce0-4d4a-8f73-b56f60072101
1,1,2022-03-01T05:00:01.0000000,2,0,c4859179-55ad-44cd-9fa8-e14db336d3e4
1,1,2022-03-01T05:00:01.0000000,2,2,687fda8b-58fe-4006-9617-6c3460a159b2
2,2,2022-03-01T05:00:02.0000000,2,0,20b2d71e-2333-4c3f-954f-4da2b1a44070
2,2,2022-03-01T05:00:02.0000000,1,1,b9562772-999c-4c71-abf4-238d41a5c640
2,2,2022-03-01T05:00:02.0000000,1,3,469922c6-cc85-4a64-9d36-442638f356d6
2,2,2022-03-01T05:00:02.0000000,1,1,1172130a-286c-4dd4-b6f6-4f2ae840cb01
2,2,2022-03-01T05:00:02.0000000,1,1,3b859546-674a-454b-9565-be88f44911f9
2,2,2022-03-01T05:00:02.0000000,0,0,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
2,2,2022-03-01T05:00:02.0000000,1,3,deb1d222-41a8-4677-b59e-596879022729
2,2,2022-03-01T05:00:02.0000000,3,3,44e3c14e-cce0-4d4a-8f73-b56f60072101
2,2,2022-03-01T05:00:02.0000000,2,0,c4859179-55ad-44cd-9fa8-e14db336d3e4
2,2,2022-03-01T05:00:02.0000000,1,1,687fda8b-58fe-4006-9617-6c3460a159b2
3,3,2022-03-01T05:00:03.0000000,2,0,20b2d71e-2333-4c3f-954f-4da2b1a44070
3,3,2022-03-01T05:00:03.0000000,2,0,b9562772-999c-4c71-abf4-238d41a5c640
3,3,2022-03-01T05:00:03.0000000,0,4,469922c6-cc85-4a64-9d36-442638f356d6
3,3,2022-03-01T05:00:03.0000000,0,0,1172130a-286c-4dd4-b6f6-4f2ae840cb01
3,3,2022-03-01T05:00:03.0000000,2,0,3b859546-674a-454b-9565-be88f44911f9
3,3,2022-03-01T05:00:03.0000000,1,1,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
3,3,2022-03-01T05:00:03.0000000,2,2,deb1d222-41a8-4677-b59e-596879022729
3,3,2022-03-01T05:00:03.0000000,2,4,44e3c14e-cce0-4d4a-8f73-b56f60072101
3,3,2022-03-01T05:00:03.0000000,1,1,c4859179-55ad-44cd-9fa8-e14db336d3e4
3,3,2022-03-01T05:00:03.0000000,2,0,687fda8b-58fe-4006-9617-6c3460a159b2
4,4,2022-03-01T05:00:04.0000000,2,0,20b2d71e-2333-4c3f-954f-4da2b1a44070
4,4,2022-03-01T05:00:04.0000000,2,0,b9562772-999c-4c71-abf4-238d41a5c640
4,4,2022-03-01T05:00:04.0000000,1,3,469922c6-cc85-4a64-9d36-442638f356d6
4,4,2022-03-01T05:00:04.0000000,0,0,1172130a-286c-4dd4-b6f6-4f2ae840cb01
4,4,2022-03-01T05:00:04.0000000,2,0,3b859546-674a-454b-9565-be88f44911f9
4,4,2022-03-01T05:00:04.0000000,0,0,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
4,4,2022-03-01T05:00:04.0000000,2,2,deb1d222-41a8-4677-b59e-596879022729
4,4,2022-03-01T05:00:04.0000000,1,5,44e3c14e-cce0-4d4a-8f73-b56f60072101
4,4,2022-03-01T05:00:04.0000000,2,2,c4859179-55ad-44cd-9fa8-e14db336d3e4
4,4,2022-03-01T05:00:04.0000000,2,0,687fda8b-58fe-4006-9617-6c3460a159b2
5,5,2022-03-01T05:00:05.0000000,2,0,20b2d71e-2333-4c3f-954f-4da2b1a44070
5,5,2022-03-01T05:00:05.0000000,1,1,b9562772-999c-4c71-abf4-238d41a5c640
5,5,2022-03-01T05:00:05.0000000,2,2,469922c6-cc85-4a64-9d36-442638f356d6
5,5,2022-03-01T05:00:05.0000000,0,0,1172130a-286c-4dd4-b6f6-4f2ae840cb01
5,5,2022-03-01T05:00:05.0000000,1,1,3b859546-674a-454b-9565-be88f44911f9
5,5,2022-03-01T05:00:05.0000000,0,0,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
5,5,2022-03-01T05:00:05.0000000,1,3,deb1d222-41a8-4677-b59e-596879022729
5,5,2022-03-01T05:00:05.0000000,2,4,44e3c14e-cce0-4d4a-8f73-b56f60072101
5,5,2022-03-01T05:00:05.0000000,1,3,c4859179-55ad-44cd-9fa8-e14db336d3e4
5,5,2022-03-01T05:00:05.0000000,1,1,687fda8b-58fe-4006-9617-6c3460a159b2
6,6,2022-03-01T05:00:06.0000000,2,0,20b2d71e-2333-4c3f-954f-4da2b1a44070
6,6,2022-03-01T05:00:06.0000000,2,0,b9562772-999c-4c71-abf4-238d41a5c640
6,6,2022-03-01T05:00:06.0000000,3,3,469922c6-cc85-4a64-9d36-442638f356d6
6,6,2022-03-01T05:00:06.0000000,1,1,1172130a-286c-4dd4-b6f6-4f2ae840cb01
6,6,2022-03-01T05:00:06.0000000,2,0,3b859546-674a-454b-9565-be88f44911f9
6,6,2022-03-01T05:00:06.0000000,0,0,d7b4c90c-7ff0-4e5b-b126-ae6d7f0eca0f
6,6,2022-03-01T05:00:06.0000000,2,4,deb1d222-41a8-4677-b59e-596879022729
6,6,2022-03-01T05:00:06.0000000,1,3,44e3c14e-cce0-4d4a-8f73-b56f60072101
6,6,2022-03-01T05:00:06.0000000,2,4,c4859179-55ad-44cd-9fa8-e14db336d3e4
